id,content,timestamp,topic,tags,views,likes,comments,sentiment,length
1,What's your take on the potential of renewable energy technologies?,2024-03-09 19:50:48,science,"science,trending",529,137,46,0.53,10
2,How do you think we can promote healthier eating habits?,2023-12-05 19:50:48,food,"food,controversial",615,593,4,0.22,10
3,How do you think social media has impacted celebrity culture?,2024-03-28 19:50:48,entertainment,"entertainment,controversial",110,26,21,0.46,10
4,How do you think e-sports compare to traditional sports?,2024-06-22 19:50:48,sports,"sports,trending",78,44,16,-0.81,9
5,What's your take on the importance of sleep for overall health?,2024-03-07 19:50:48,health,"health,popular",112,66,41,0.59,11
6,What's your take on the slow food movement?,2023-06-28 19:50:48,food,"food,popular",83,45,20,-0.89,8
7,How do you think AI will impact scientific research?,2023-11-03 19:50:48,science,"science,trending",982,508,144,0.16,9
8,What's your opinion on genetically modified foods?,2024-03-08 19:50:48,food,"food,trending",368,2,2,0.94,7
9,How do you think AI will impact scientific research?,2024-04-06 19:50:48,science,"science,controversial",860,529,138,0.46,9
10,How do you think we can address global food waste?,2023-07-13 19:50:48,food,"food,trending",430,90,6,0.32,10
11,How do you think climate change should be addressed politically?,2023-12-01 19:50:48,politics,"politics,new",569,251,172,-0.76,10
12,What's your best tip for maintaining mental health?,2024-02-24 19:50:48,health,"health,new",947,712,356,-0.55,8
13,Who's your favorite musician and why?,2024-03-10 19:50:48,entertainment,"entertainment,popular",595,422,152,-0.08,6
14,How do you think climate change will impact global food production?,2024-01-23 19:50:48,food,"food,trending",234,33,18,0.26,11
15,How do you think political polarization can be reduced?,2023-12-05 19:50:48,politics,"politics,popular",678,283,29,-0.48,9
16,How do you think we can address the replication crisis in science?,2024-01-15 19:50:48,science,"science,controversial",788,206,189,-0.89,12
17,What's your opinion on the current state of vaccine development?,2023-11-30 19:50:48,science,"science,trending",856,181,93,0.67,10
18,What recent scientific discovery excites you the most?,2023-08-02 19:50:48,science,"science,popular",920,466,436,-0.32,8
19,How do you think we can improve global access to healthcare?,2024-04-26 19:50:48,health,"health,trending",766,461,255,0.83,11
20,Who do you think will win the World Cup this year?,2024-02-28 19:50:48,sports,"sports,new",924,260,259,0.77,11
21,How do you see blockchain technology evolving in the next decade?,2024-04-17 19:50:48,technology,"technology,controversial",960,474,186,-0.57,11
22,What's your take on the increasing diversity in Hollywood productions?,2023-07-19 19:50:48,entertainment,"entertainment,popular",216,10,0,-0.96,10
23,Who do you think will win the World Cup this year?,2023-09-17 19:50:48,sports,"sports,new",290,215,184,0.36,11
24,What's your take on the rise of digital nomads?,2024-01-29 19:50:48,travel,"travel,trending",391,278,52,-0.39,9
25,What's your take on the impact of stress on physical health?,2024-05-09 19:50:48,health,"health,trending",342,91,70,0.52,11
26,What are your thoughts on the role of lobbying in politics?,2024-05-10 19:50:48,politics,"politics,trending",567,341,107,-0.73,11
27,How do you think we can promote healthier eating habits?,2024-02-09 19:50:48,food,"food,controversial",270,248,3,0.35,10
28,What's your opinion on the role of exercise in maintaining good health?,2024-03-06 19:50:48,health,"health,new",339,138,123,-0.88,12
29,How do you think technology is changing the restaurant industry?,2023-10-11 19:50:48,food,"food,trending",922,477,94,-0.47,10
30,What's the best movie you've seen recently?,2023-09-14 19:50:48,entertainment,"entertainment,trending",335,8,1,0.67,7
31,What's your opinion on the role of citizen science in research?,2024-02-12 19:50:48,science,"science,popular",914,35,26,-0.23,11
32,What's your opinion on voluntourism?,2023-10-24 19:50:48,travel,"travel,new",752,670,277,-0.52,5
33,What's your opinion on the impact of mass tourism on local cultures?,2023-12-29 19:50:48,travel,"travel,trending",340,14,2,-0.57,12
34,What's your take on the slow food movement?,2023-10-27 19:50:48,food,"food,popular",447,419,234,0.54,8
35,How do you think the pandemic has affected the world of sports?,2024-04-18 19:50:48,sports,"sports,controversial",354,127,95,-0.83,12
36,What are your thoughts on the current economic policies?,2023-07-30 19:50:48,politics,"politics,popular",210,22,22,0.19,9
37,Who do you think will win the World Cup this year?,2023-10-01 19:50:48,sports,"sports,trending",430,301,274,0.86,11
38,How do you think climate change should be addressed politically?,2023-09-26 19:50:48,politics,"politics,trending",151,132,87,-0.22,10
39,How do you think technology is changing healthcare?,2023-11-11 19:50:48,health,"health,controversial",759,607,602,-0.08,8
40,How do you stay motivated to maintain a healthy lifestyle?,2023-11-03 19:50:48,health,"health,popular",618,442,84,-0.6,10
41,Who's your favorite musician and why?,2023-11-27 19:50:48,entertainment,"entertainment,controversial",281,281,41,0.58,6
42,What's the most memorable place you've visited?,2023-12-28 19:50:48,travel,"travel,controversial",288,45,16,0.45,7
43,How do you think we can promote healthier eating habits?,2023-09-10 19:50:48,food,"food,new",605,355,237,-0.03,10
44,What's your favorite food trend of the past year?,2023-10-19 19:50:48,food,"food,trending",265,186,123,-1.0,9
45,What's your opinion on the rise of user-generated content platforms like TikTok?,2024-02-08 19:50:48,entertainment,"entertainment,trending",179,30,6,0.69,12
46,What's your take on the potential of renewable energy technologies?,2023-12-28 19:50:48,science,"science,controversial",178,6,5,0.72,10
47,How do you stay updated with the latest tech trends?,2023-12-15 19:50:48,technology,"technology,controversial",208,95,42,0.04,10
48,What are your thoughts on immigration reform?,2024-05-24 19:50:48,politics,"politics,trending",319,227,162,-0.9,7
49,What's your best tip for maintaining mental health?,2024-04-28 19:50:48,health,"health,new",359,20,8,-0.6,8
50,What's your take on the ethical implications of gene editing?,2024-01-02 19:50:48,technology,"technology,controversial",636,492,287,-0.63,10
51,What's your take on the future of personalized medicine?,2023-11-14 19:50:48,health,"health,trending",610,421,345,0.76,9
52,How do you think we can improve mental health awareness and support?,2024-04-28 19:50:48,health,"health,new",291,141,119,0.65,12
53,Who's your favorite musician and why?,2023-12-28 19:50:48,entertainment,"entertainment,controversial",11,5,3,-0.17,6
54,What do you think about the concept of a universal basic income in the age of automation?,2024-02-03 19:50:48,technology,"technology,new",219,25,4,-0.33,17
55,What's your opinion on the role of diet in preventing chronic diseases?,2023-11-24 19:50:48,health,"health,popular",80,39,29,-0.84,12
56,What's your favorite sport to watch and why?,2023-10-29 19:50:48,sports,"sports,controversial",179,106,55,0.96,8
57,Who do you think is the most influential figure in entertainment right now?,2024-02-27 19:50:48,entertainment,"entertainment,new",192,116,80,-0.32,13
58,What's your dream vacation destination?,2023-07-22 19:50:48,travel,"travel,popular",835,207,31,-0.02,5
59,How do you think we can promote healthier eating habits?,2024-03-09 19:50:48,food,"food,new",678,292,114,-0.04,10
